SiteID,WetlandType,MosquitoRank,CattailMosquito,CulexFound,TreatedBy,Date,Wetness,Action,DipCount,Material,Temperature,Precipitation,CloudCoverage
191031N011,8.2,GREEN,No,Yes,none,09/08/2024,-1,none,,,17,,10
191031N011,8.2,GREEN,No,Yes,none,09/09/2024,-1,none,,,21,,3
191031N011,8.2,GREEN,No,Yes,none,09/10/2024,-1,none,,,22,,45
191031N011,8.2,GREEN,No,Yes,none,09/11/2024,-1,none,,,22,,14
191031N011,8.2,GREEN,No,Yes,Ground,09/12/2024,0.95,Inspect for Cattail Mosq.,0.1,,22,,1
191031N011,8.2,GREEN,No,Yes,none,07/26/2024,-1,none,,,22,,42
191031N011,8.2,GREEN,No,Yes,none,07/27/2024,-1,none,,,25,,30
191031N011,8.2,GREEN,No,Yes,none,07/28/2024,-1,none,,,25,,33
191031N011,8.2,GREEN,No,Yes,none,07/29/2024,-1,none,,,24,,64
191031N011,8.2,GREEN,No,Yes,Ground,07/30/2024,0.95,Treat (by Ground),,Methoprene granules,25,,20
191031N011,8.2,GREEN,No,Yes,none,06/27/2024,-1,none,,,19,,45
191031N011,8.2,GREEN,No,Yes,none,06/28/2024,-1,none,,,20,,95
191031N011,8.2,GREEN,No,Yes,none,06/29/2024,-1,none,,,18,,58
191031N011,8.2,GREEN,No,Yes,none,06/30/2024,-1,none,,,16,,4
191031N011,8.2,GREEN,No,Yes,Ground,07/01/2024,0.95,Treat (by Ground),,Methoprene granules,17,,32
191031N011,8.2,GREEN,No,Yes,none,05/16/2024,-1,none,,,16,,68
191031N011,8.2,GREEN,No,Yes,none,05/17/2024,-1,none,,,18,,16
191031N011,8.2,GREEN,No,Yes,none,05/18/2024,-1,none,,,20,,37
191031N011,8.2,GREEN,No,Yes,none,05/19/2024,-1,none,,,16,,42
191031N011,8.2,GREEN,No,Yes,Ground,05/20/2024,0.95,Treat (by Ground),,Methoprene granules,19,,80
191031N011,8.2,GREEN,No,Yes,none,04/13/2024,-1,none,,,13,,10
191031N011,8.2,GREEN,No,Yes,none,04/14/2024,-1,none,,,15,,4
191031N011,8.2,GREEN,No,Yes,none,04/15/2024,-1,none,,,13,,35
191031N011,8.2,GREEN,No,Yes,none,04/16/2024,-1,none,,,9,,76
191031N011,8.2,GREEN,No,Yes,Ground,04/17/2024,0.95,Inspect+Treat (Ground),0.8,Methoprene granules,9,,93
191031N011,8.2,GREEN,No,Yes,none,09/10/2023,-1,none,,,18,,61
191031N011,8.2,GREEN,No,Yes,Ground,09/11/2023,0.45,Inspect for Cattail Mosq.,0,,17,,36
191031N011,8.2,GREEN,No,Yes,none,09/12/2023,-1,none,,,15,,38
191031N011,8.2,GREEN,No,Yes,none,09/13/2023,-1,none,,,13,,19
191031N011,8.2,GREEN,No,Yes,Ground,09/14/2023,0.65,Inspect for Cattail Mosq.,0.3,,19,,14
191031N011,8.2,GREEN,No,Yes,none,09/07/2023,-1,none,,,16,,55
191031N011,8.2,GREEN,No,Yes,none,09/08/2023,-1,none,,,18,,11
